IDTNS;B1_1;B1_2;C1_1;C1_2;C1_3;D1_1;D1_2;A2_1;A2_2;A2_3;A3;A4;E2;E4;F2_1;F2_2;F2_3;F4_1;F4_2;F4_3
10699;3;8;6;8;6;8;7;7;6;7;8;6;8; ; ; ; ;8;8;8
11407;8;7;4;6;5;4;7;8;4;4;8; ; ; ; ; ; ; ; ; 
11842;5;5;0;0;0;5;5;2;5;5;8;8;8; ; ; ; ;5;8;8
11852;7;7;3;2;3;1;6;7;6;7;6; ;5; ; ; ; ; ; ; 
11870;5;1;1;1;1;2;1; ; ; ; ;2;1; ; ; ; ;3;2;2
11872;7;10;7;5;5;5;5;7;5;7;10; ; ;7; ; ; ;5;7;7
11887;8;6;6;6;5;8;9;9;9;9;9; ; ;3; ; ; ; ; ; 
11904;5;3;5;3;3;10;10;7;5;10;10; ; ;7;5;7;5; ; ; 
11929;10;10;10;9;9;10;10; ; ; ; ; ; ; ;10;10;10; ; ; 
11939;0;0;5;0;0;0;0;0;0;0;5;0;0;0; ; ; ;0;0;0
11942;7;5;2;2;0;5;5; ; ; ; ;5;6;0;4;6;7;8;8;7
11951;7;8;5;5;7;6;8; ; ; ; ; ; ;7; ; ; ;9;7;9
11956;10;10;10;10;10;9;10;8;10;10;10; ; ;10; ; ; ;10;10;10
11964;7;8;9;7;7;7;10;7;6;9;10; ; ; ; ; ; ;9;10;7
12004;9;9;8;7;10;10;10;10;10;10;10;10; ; ; ; ; ;10;8;8
12019;4;3;5;5;4;6;5;7;7;7;6;5; ; ; ; ; ;8;8;8
12034;10;10;10;10;10;10;10;10;10;10;10;10; ; ; ; ; ; ; ; 
12049;10;10;7;5;5;10;10;8;8;8;10;10;10; ; ; ; ; ; ; 
12112;9;8;8;8;7;8;7;8;7;8;9;8; ;7; ; ; ;9;6;6
12144;8;8;10;10;10;8;10;6;7;8;8;8; ; ; ; ; ; ; ; 
12145;7;7;5;3;5;9;8;2;8;4;4;4;3;0; ; ; ;5;4;5
12147;5;5;0;0;2;7;9; ; ; ; ; ; ; ; ; ; ;5;10;4
12168;10;8;7;7;7;10;10;7;10;10;10; ; ; ; ; ; ;8;8;8
12212;7;7;6;6;6;9;9; ; ; ; ; ; ; ; ; ; ;8;8;8
12229;3;5;8;6;5;4;4;4;5;5;5;5;5;6;7;8;8; ; ; 
12237;8;8;7;8;7;8;8; ; ; ; ; ;7; ; ; ; ;9;9;9
12345;8;5;8;7;7;9;9;5;8;7;7;7; ; ; ; ; ; ; ; 
12401;0;4;4;4;4;5;8;8;8;8;8; ;5;0; ; ; ;8;8;8
12427;6;6;6;5;3;10;10; ; ; ; ; ;6; ; ; ; ;8;6;8
12465;5;9;10;10;10;6;6; ; ; ; ;8;7;10; ; ; ; ; ; 
12505;10;10;10;10;10;10;10;10;10;10;10;10; ; ; ; ; ; ; ; 
12551;7;2;7;0;2;7;9;0;8;8;10;10; ;8; ; ; ;10;8;10
12568;7;8;8;7;8;5;5; ; ; ; ; ; ; ; ; ; ; ; ; 
12569;6;6;8;5;5;5;8;8;8;8;3; ;5; ; ; ; ;6;7;7
12577;10;9;9;9;9;8;9;8;9;9;9;9;9;10;8;10;10;9;9;9
12581;10;10;7;7;10;10;10;10;10;10;10;7; ; ; ; ; ; ; ; 
12583;5;5;8;6;6;7;5; ; ; ; ; ; ; ; ; ; ; ; ; 
12589;8;8;8;8;8;8;7;7;6;8;8;7; ; ; ; ; ;9;9;9
12620;3;2;3;0;1;6;2; ; ; ; ;4; ; ; ; ; ;5;3;6
12623;10;10;10;10;7;6;5;9;9;9;10; ; ; ; ; ; ; ; ; 
12624;9;10;10;10;10;9;8; ; ; ; ; ; ; ; ; ; ; ; ; 
12628;3;5;0;0;0;3;5;3;0;0;2; ;0;1;10;10;10; ; ; 
12659;10;10;9;9;9;10;10;10;9;10;10;10; ; ; ; ; ; ; ; 
12668;9;8;8;6;8;6;6;8;3;6;6; ;5;7;7;8;8;3;3;3
12687;2;5;2;0;0;0;3;5;5;8;8; ;6; ; ; ; ; ; ; 
12709;8;7;10;7;7;7;10;10;10;10;10;10;8; ;8;8;10;8;8;8
12732;7;7;7;5;5;7;10;5;7;5;7; ;7; ; ; ; ; ; ; 
12734;6;4;4;5;4;8;6; ; ; ; ; ; ; ; ; ; ; ; ; 
12758;5;5;5;5;5;8;8; ; ; ; ; ; ; ; ; ; ; ; ; 
12800;7;7;10;9;8;9;10;9;8;8;9;9; ; ; ; ; ; ; ; 
12819;7;3;4;3;2;8;8;6;7;8;8; ; ;7; ; ; ; ; ; 
12838;10;10;8;7;9;10;10;10;10;10;10; ;10; ; ; ; ;10;10;10
12859;6;8;7;3;7;10;10;7;8;8;7; ; ; ; ; ; ; ; ; 
12873;4;5;4;4;4;7;8;7;4;6;4; ;5; ; ; ; ;3;4;5
12895;6;6;7;7;7;6;6;6;5;5;5; ; ; ; ; ; ; ; ; 
13048;7;7;9;8;7;9;7; ; ; ; ; ; ; ; ; ; ; ; ; 
13057;8;7;8;3;0; ; ;7;0;9;8; ; ;0; ; ; ;10;10;10
13061;7;8;9;9;9;8;8; ; ; ; ; ; ; ; ; ; ; ; ; 
13069;1;0;1;0;0;10;0;0;4;0;0; ;5;0; ; ; ;6;10;4
13070;7;8;9;8;8;9;8;8;8;9;8; ; ; ; ; ; ; ; ; 
13073;7;2;0;0;0;5;5;4;6;8;5;5; ; ; ; ; ; ; ; 
13074;2;1;3;2;2;7;3;4;5;3;4; ; ; ; ; ; ;1;10;6
13075;8;7;10;10;9;9;10; ; ; ; ; ; ; ; ; ; ; ; ; 
13084;7;8;9;8;6;9;9;10;9;10;10; ; ; ;8;8;10; ; ; 
13089;10;10;10;9;9;10;10;9;10;10;10; ; ; ; ; ; ; ; ; 
13090;8;7;6;5;6;8;8;8;5;10;10; ; ; ; ; ; ; ; ; 
13101;9;10;10;10;10;10;10;9;10;9;10; ; ; ; ; ; ; ; ; 
13103;9;10;9;7;7;9;10;7;9;10;10;9; ;10; ; ; ; ; ; 
13104;8;8;7;9;7;9;9;7;8;8;9; ;9;8; ; ; ;10;10;10
13105;3;3;4;4;4;4;6;6;5;8;8; ;5; ; ; ; ;7;0;3
13116;10;8;10;9;8;10;10; ; ; ; ; ; ; ; ; ; ; ; ; 
13119;10;8;10;7;6;10;8;8;8;8;8; ; ;8; ; ; ;8;8;8
13127;6;9;5;4;8;8;9; ; ; ; ; ;10;0; ; ; ;10;10;10
13131;3;3;5;0;1;1;1;5;5;8;5; ;0; ; ; ; ; ; ; 
13134;5;6;7;5;5;4;4;6;6;6;7; ; ; ; ; ; ; ; ; 
13140;8;4;6;6;4;6;8;8;6;9;8; ;6;4; ; ; ;8;8;8
13142;3;8;8;6;8;8;8;7;3;5;5;8; ;9; ; ; ;8;8;8
13148;7;7;3;3;3;8;9; ; ; ; ; ; ; ; ; ; ; ; ; 
13155;10;10;10;8;10;10;8;8;10;7;8; ; ; ; ; ; ;10;10;8
13156;6;8;8;7;8;7;7;7;8;7;8;8; ;7; ; ; ; ; ; 
13163;7;7;7;7;8;5;5;8;8;9;8; ; ; ; ; ; ;7;7;7
13173;6;8;7;6;6;6;8;6;5;6;8;7; ; ; ; ; ; ; ; 
13185;10;10;10;10;8;10;10;10;10;10;10;10; ; ; ; ; ; ; ; 
13192;3;3;6;4;4;8;8;3;8;8;4;6; ; ; ; ; ;3;5;7
13196;10;10;8;8;10;10;10; ; ; ; ; ; ; ; ; ; ; ; ; 
13248;5;5;5;5;7;8;10;10;10;8;8;8;10; ; ; ; ; ; ; 
13251;7;9;10;9;6;9;9;8;10;10;10;10; ; ; ; ; ; ; ; 
13265;6;6;8;6;4;6;6;5;5;8;8; ; ; ; ; ; ;9;8;8
13318;10;10;10;9;9;10;9;9;10;10;10;10; ;1; ; ; ;10;9;10
13322;8;7;7;7;5;4;8;5;8;8;8; ; ;4; ; ; ; ; ; 
13351;10;10;10;10;10;10;10;10;10;10;10; ; ; ; ; ; ; ; ; 
13370;7;9;6;5;6;9;9; ; ; ; ; ;8; ; ; ; ; ; ; 
